"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Cs7g22920" 109.580465370935 0.338500566055287 0.132375804020256 2.99593089759279 0.00273608429366344 0.352189110376303
"Cs7g25920" 19.955589282108 0.404331423309061 0.12411669885179 3.25444342442698 0.0011361478756792 0.352189110376303
"Cs7g28055" 5.82404029394606 0.372709203475881 0.13438364107028 3.01107146910064 0.00260327571230456 0.352189110376303
"Cs7g28510" 37.4272832608524 0.388810358754225 0.137778461241885 2.98984515818105 0.00279118899658994 0.352189110376303
"Cs7g28720" 7.91903945342112 0.340051491590908 0.135193810252689 2.67356662101218 0.00750493678154069 0.415235083846554
"Cs7g28850" 2.73634555048616 0.320104496538921 0.122209686675496 2.80326599721256 0.00505879275726904 0.382687448068811
"Cs7g32050" 147.506252260872 0.36223653780569 0.132998026635964 2.83272471384144 0.00461531137567573 0.380508906194513
"Cs7g32510" 4.71479659335176 0.354450254454305 0.13613416849048 2.63032557060381 0.00853031321463528 0.415235083846554
"Cs8g07230" 5170.40430521132 0.354764615005907 0.130694042428658 3.14453663782806 0.00166350079926236 0.352189110376303
"Cs8g18250" 109.195347511572 0.370875390661372 0.107931564369361 3.44392607637829 0.00057333243707025 0.316426172012818
"Cs8g18540" 23.1997671830476 0.344392086471994 0.121322262703182 2.86729558337004 0.00413996153088026 0.361835707196175
"Cs8g19570" 1142.54852747952 0.335482226804216 0.0924952384299981 3.61974022836271 0.000294898920403251 0.288511292560652
"Cs8g19800" 3897.32042023522 0.381639857356138 0.134330720279782 2.92051039517776 0.00349458538549497 0.352189110376303
"Cs8g19860" 606.723185132985 0.330630426199866 0.122882903168477 2.72448626691705 0.00644016086307062 0.408664443367679
"Cs9g02680" 8.1237875732194 0.38163008614849 0.137081311458704 2.95601155586494 0.00311645414343776 0.352189110376303
"Cs9g10530" 955.859027841437 0.335705850768844 0.131098410246547 2.58074199563574 0.00985882316716781 0.415235083846554
"Cs9g11000" 9.74755326725823 0.409114961279712 0.133279752863054 3.37965846631157 0.000725759552381545 0.330173344872713
"Cs9g14190" 399.782136777469 0.379550586087265 0.137740730353875 2.90218374224073 0.00370571117432727 0.352920274385916
"Cs9g15180" 196.966495580661 0.378813799861319 0.109077299196821 3.47123935885611 0.000518061987053237 0.316426172012818
"Cs9g18900" 481.534899745204 0.330695306057173 0.125203950715509 2.6786555857057 0.00739183821982969 0.415235083846554
"orange1.1t00100" 1.09376530759554 0.316384140241452 0.105243436921325 3.57592283192993 0.000348994595479586 0.288511292560652
"orange1.1t00156" 664.003586513951 0.337686469653306 0.122285980044886 2.76867147699608 0.00562853579506181 0.397781656843674
"orange1.1t00539" 616.89176601095 0.318000001977547 0.131748457647387 2.72144274755096 0.00649976429053956 0.408664443367679
"orange1.1t00566" 25339.2786192009 0.365727237837336 0.137698863126909 2.80487358762715 0.00503363170168083 0.382687448068811
"orange1.1t01009" 21.9411296729776 0.340984188489774 0.117451555131785 2.88875230503353 0.00386773605516878 0.356718657314849
"orange1.1t01359" 13.4373347929091 0.640691162538374 0.122639075807951 5.08864590426377 3.6062926474821e-07 0.00855845371100452
"orange1.1t01949" 95.8324784450109 0.33351455870329 0.126845284708953 2.67549007138368 0.00746200833999834 0.415235083846554
"orange1.1t02877" 35.5426403428843 0.401753508121588 0.122133541359701 3.23639181971376 0.00121051099905717 0.352189110376303
"orange1.1t03152" 188.146494910994 0.400497930904422 0.135178156284406 3.01534084862098 0.00256690612579665 0.352189110376303
"orange1.1t03732" 493.487255312299 0.400049916930656 0.108028588306257 3.72648392773392 0.000194169447327179 0.256001629109367
"orange1.1t03773" 93.914224744267 0.373350500464964 0.12782742597977 3.53183168381348 0.000412691945356478 0.306062663974998
"orange1.1t04061" 165.538418375579 0.340178562883302 0.119127601014151 2.91921395633704 0.00350915281299137 0.352189110376303
"orange1.1t04866" 772.076370546665 0.328217379506822 0.124176270877763 2.62723916871227 0.00860808073552989 0.415235083846554
"orange1.1t04962" 6.78424700117786 0.363002799270905 0.136189514999288 2.76984985910632 0.00560821378795003 0.397781656843674
"orange1.1t04994" 9.69883040835022 0.376239527424373 0.133325818583577 2.89890009714481 0.00374474191889909 0.352920274385916
"orange1.1t05013" 7.71442757309989 0.559469843575792 0.135533697395504 4.04003070804555 5.34442034236381e-05 0.232992556008323
"orange1.1t05042" 42.4944459217744 0.346935530647668 0.102850787005975 3.38340880548809 0.000715919791017418 0.330173344872713
"orange1.1t05171" 108.006663321318 0.370300732536531 0.137802832160747 3.13646745596662 0.00170996413460381 0.352189110376303
"orange1.1t05197" 64.5848552127946 0.416150829736015 0.137368617268615 3.17703051331166 0.00148791380375192 0.352189110376303
"orange1.1t05431" 17.4867847974486 0.310251447556815 0.118908974012779 2.59797175857747 0.00937762062741599 0.415235083846554
